1781781751.3357775;Attended;1
1781781756.8730285;Attended;1
1781781769.421051;Attended;0
1781781781.437476;Attended;0
1781781796.0197697;Attended;1
1781781803.7909076;Attended;1
1781781813.0288186;Attended;1
1781781824.885384;Attended;1
1781781836.107643;Attended;1
1781781845.580078;Attended;0
1781781853.1325288;Attended;0
1781781865.0637856;Attended;0
1781781877.6032274;Attended;0
1781781889.5881424;Attended;1
1781781903.1405196;Attended;0
1781781918.10675;Attended;1
1781781932.4807992;Attended;0
1781781944.6307957;Attended;0
1781781950.4106162;Attended;1
1781781963.5527382;Attended;1
1781781978.3711042;Attended;0
1781781984.7341254;Attended;1
1781781994.1269271;Attended;1
1781782007.775213;Attended;1
1781782022.2185545;Attended;1
1781782031.018941;Attended;0
1781782044.139634;Attended;0
1781782052.0760417;Attended;1
1781782060.2213085;Attended;0
1781782070.0556307;Attended;0
1781782076.728439;Attended;1
1781782091.7418709;Attended;0
1781782106.835946;Attended;1
1781782119.7271636;Attended;0
1781782131.4183145;Attended;1
1781782144.8376212;Attended;0
1781782154.1606877;Attended;1
1781782167.4574344;Attended;0
1781782182.647226;Attended;0
1781782197.9492111;Attended;0
1781782207.9070735;Attended;0
1781782214.1951911;Attended;1
