1781781336.0150895;Ejecucion;0
1781781339.0133414;Ejecucion;20
1781781368.014655;Ejecucion;50
1781781404.513885;Ejecucion;50
1781781407.013916;Ejecucion;40
1781781444.0137737;Ejecucion;1
1781781474.0134494;Ejecucion;50
1781781479.0133176;Ejecucion;2
1781781496.5150375;Ejecucion;50
1781781501.5138807;Ejecucion;3
1781781536.5133429;Ejecucion;40
1781781552.0134149;Ejecucion;50
1781781581.0138712;Ejecucion;4
1781781592.5132878;Ejecucion;50
1781781597.5133348;Ejecucion;5
1781781608.0133088;Ejecucion;50
1781781610.013914;Ejecucion;50
1781781627.013296;Ejecucion;6
1781781643.0139103;Ejecucion;50
1781781652.013213;Ejecucion;7
1781781658.013325;Ejecucion;50
1781781660.5132942;Ejecucion;8
1781781677.51339;Ejecucion;50
1781781679.5151966;Ejecucion;9
1781781689.0132754;Ejecucion;50
1781781713.5134664;Ejecucion;50
1781781716.0132403;Ejecucion;30
1781781755.5133057;Ejecucion;20
1781781958.015997;Ejecucion;30
