1783420726.0573568;Ejecucion;0
1783420728.0573256;Ejecucion;20
1783420737.0578237;Ejecucion;50
1783420740.0592008;Ejecucion;1
1783420750.5598054;Ejecucion;50
1783420756.057492;Ejecucion;2
1783420764.0570722;Ejecucion;50
1783420767.556962;Ejecucion;3
1783420776.5581615;Ejecucion;50
1783420780.056904;Ejecucion;4
1783420788.0567417;Ejecucion;50
1783420790.5574296;Ejecucion;5
1783420801.0569327;Ejecucion;50
1783420804.5569582;Ejecucion;6
1783420812.0584064;Ejecucion;50
1783420815.0572965;Ejecucion;7
1783420819.558524;Ejecucion;50
1783420823.556934;Ejecucion;8
1783420831.5569131;Ejecucion;50
1783420833.556962;Ejecucion;9
1783420843.55938;Ejecucion;50
1783420846.5584605;Ejecucion;10
1783420853.0586736;Ejecucion;50
1783420855.0593266;Ejecucion;30
