1780307780.8272064;1780307780.8271327;CONNECTED
1780307782.8266587;1780307782.8265698;CONNECTED
1780307784.8280308;1780307784.827875;CONNECTED
1780307786.8266919;1780307786.8266153;CONNECTED
1780307788.8262715;1780307788.8259435;CONNECTED
1780307790.8256075;1780307790.8254259;CONNECTED
1780307792.8260956;1780307792.8259327;CONNECTED
1780307794.8255107;1780307794.8254237;CONNECTED
1780307796.8270502;1780307796.8267932;CONNECTED
1780307798.8265352;1780307798.826237;CONNECTED
1780307800.8268495;1780307800.8266852;CONNECTED
1780307802.8258653;1780307802.8257074;CONNECTED
1780307804.8271341;1780307804.8268573;CONNECTED
1780307806.826993;1780307806.8258405;CONNECTED
1780307808.826305;1780307808.825971;CONNECTED
1780307810.825391;1780307810.8251877;CONNECTED
1780307812.82569;1780307812.825529;CONNECTED
1780307814.825515;1780307814.8254323;CONNECTED
1780307816.8265731;1780307816.8265069;CONNECTED
1780307818.826931;1780307818.8268535;CONNECTED
1780307820.827032;1780307820.8269536;CONNECTED
1780307822.8268652;1780307822.826616;CONNECTED
1780307824.8269987;1780307824.8259845;CONNECTED
1780307826.8254662;1780307826.8253937;CONNECTED
1780307828.8263023;1780307828.826221;CONNECTED
1780307830.8261163;1780307830.825963;CONNECTED
1780307832.827172;1780307832.8270996;CONNECTED
1780307834.8268697;1780307834.8267062;CONNECTED
1780307836.8276062;1780307836.827233;CONNECTED
1780307838.8256936;1780307838.825129;CONNECTED
1780307840.825537;1780307840.825455;CONNECTED
1780307842.827799;1780307842.8269525;CONNECTED
1780307844.8279128;1780307844.8268332;CONNECTED
1780307846.8248951;1780307846.8248012;CONNECTED
1780307848.8267307;1780307848.8256617;CONNECTED
1780307850.825983;1780307850.8258235;CONNECTED
1780307852.8268003;1780307852.826719;CONNECTED
1780307854.8267722;1780307854.8266158;CONNECTED
1780307856.8269594;1780307856.826861;CONNECTED
1780307858.8264027;1780307858.8262224;CONNECTED
1780307860.8267758;1780307860.8264203;CONNECTED
1780307862.8261085;1780307862.8259451;CONNECTED
1780307864.82598;1780307864.8257053;CONNECTED
1780307866.8255322;1780307866.8253257;CONNECTED
1780307868.8267052;1780307868.82663;CONNECTED
1780307870.8264089;1780307870.8263195;CONNECTED
1780307872.8264248;1780307872.826357;CONNECTED
1780307874.826339;1780307874.8261354;CONNECTED
1780307876.8250682;1780307876.8249183;CONNECTED
1780307878.8263917;1780307878.826222;CONNECTED
1780307880.8269563;1780307880.8268633;CONNECTED
1780307882.8263934;1780307882.8263142;CONNECTED
1780307884.8271475;1780307884.8258834;CONNECTED
1780307886.8261962;1780307886.8259988;CONNECTED
1780307888.8260233;1780307888.8259418;CONNECTED
1780307890.8253937;1780307890.8253212;CONNECTED
1780307892.8266065;1780307892.8264391;CONNECTED
1780307894.8258471;1780307894.8257675;CONNECTED
1780307896.828001;1780307896.8269675;CONNECTED
1780307898.823791;1780307898.8236885;CONNECTED
1780307900.8274262;1780307900.8272452;CONNECTED
1780307902.826998;1780307902.8268087;CONNECTED
1780307904.826814;1780307904.8266609;CONNECTED
1780307906.8251085;1780307906.8247848;CONNECTED
1780307908.8254228;1780307908.8253314;CONNECTED
1780307910.825474;1780307910.825309;CONNECTED
1780307912.8272574;1780307912.8271785;CONNECTED
1780307914.8283668;1780307914.8267887;CONNECTED
1780307916.8274148;1780307916.827249;CONNECTED
1780307918.8260932;1780307918.8260112;CONNECTED
1780307920.827946;1780307920.8264914;CONNECTED
1780307922.8261125;1780307922.8259237;CONNECTED
1780307924.8259306;1780307924.8253868;CONNECTED
1780307926.8255277;1780307926.8253894;CONNECTED
1780307928.8265703;1780307928.8264968;CONNECTED
1780307930.82673;1780307930.8265686;CONNECTED
1780307932.8255377;1780307932.8253891;CONNECTED
1780307934.8258724;1780307934.825788;CONNECTED
1780307936.8265889;1780307936.8265047;CONNECTED
1780307938.8269083;1780307938.8267643;CONNECTED
1780307940.827293;1780307940.8271215;CONNECTED
1780307942.8270082;1780307942.8268304;CONNECTED
1780307944.827516;1780307944.8273547;CONNECTED
1780307946.8267002;1780307946.8265858;CONNECTED
1780307948.8269923;1780307948.8267195;CONNECTED
1780307950.8266828;1780307950.8265247;CONNECTED
1780307952.8260393;1780307952.825869;CONNECTED
1780307954.826639;1780307954.8265297;CONNECTED
1780307956.8265588;1780307956.826476;CONNECTED
1780307958.8263426;1780307958.8261564;CONNECTED
1780307960.8271918;1780307960.8270347;CONNECTED
1780307962.8265963;1780307962.8264503;CONNECTED
1780307964.8269818;1780307964.8268206;CONNECTED
1780307966.827177;1780307966.8270159;CONNECTED
1780307968.8256292;1780307968.8255606;CONNECTED
1780307970.8254602;1780307970.8253808;CONNECTED
1780307972.8258562;1780307972.8257694;CONNECTED
1780307974.8258705;1780307974.8255792;CONNECTED
1780307976.8266113;1780307976.8264437;CONNECTED
1780307978.8272364;1780307978.826917;CONNECTED
1780307980.8273246;1780307980.8271432;CONNECTED
1780307982.8267288;1780307982.8266597;CONNECTED
1780307984.8269138;1780307984.8260498;CONNECTED
1780307986.827056;1780307986.8260787;CONNECTED
1780307988.8247573;1780307988.8246763;CONNECTED
1780307990.8257847;1780307990.8257015;CONNECTED
1780307992.8251288;1780307992.8249738;CONNECTED
1780307994.826051;1780307994.8258939;CONNECTED
1780307996.825686;1780307996.8256135;CONNECTED
1780307998.827093;1780307998.826917;CONNECTED
1780308000.827382;1780308000.827187;CONNECTED
1780308002.8267112;1780308002.8265555;CONNECTED
1780308004.825585;1780308004.825478;CONNECTED
1780308006.825493;1780308006.8253112;CONNECTED
1780308008.8254032;1780308008.8252244;CONNECTED
1780308010.8261445;1780308010.8260887;CONNECTED
1780308012.8271756;1780308012.82709;CONNECTED
1780308014.8262231;1780308014.825946;CONNECTED
1780308016.8257127;1780308016.8255513;CONNECTED
1780308018.825991;1780308018.825835;CONNECTED
1780308020.8257973;1780308020.8255122;CONNECTED
1780308022.8266256;1780308022.826379;CONNECTED
1780308024.8271222;1780308024.827016;CONNECTED
1780308026.8265045;1780308026.8263109;CONNECTED
