1782990451.8729115;1782990451.8728406;0
1782990452.872775;1782990452.872676;-86
1782990453.872829;1782990453.87274;-183
1782990454.8727887;1782990454.8726847;-180
1782990455.872928;1782990455.872834;-186
1782990456.872782;1782990456.872689;-184
1782990457.872828;1782990457.872707;-185
1782990458.8727813;1782990458.8726866;-182
1782990459.8728096;1782990459.8727174;-183
1782990460.8727872;1782990460.8726835;-166
1782990461.8728313;1782990461.8727105;11
1782990462.87282;1782990462.8726852;0
1782990463.8738186;1782990463.8728232;0
1782990464.8728151;1782990464.872715;0
1782990465.8728719;1782990465.8727543;0
1782990466.8728461;1782990466.872672;0
1782990467.8728378;1782990467.8727376;32
1782990468.8728569;1782990468.872755;181
1782990469.8727841;1782990469.8726764;235
1782990470.8727891;1782990470.872687;234
1782990471.8728065;1782990471.872717;223
1782990472.8728385;1782990472.87273;231
1782990473.8727832;1782990473.8726873;240
1782990474.8727908;1782990474.8726988;234
1782990475.8727622;1782990475.8726602;238
1782990476.8727856;1782990476.872694;140
1782990477.8727787;1782990477.872686;0
1782990478.8727849;1782990478.872674;0
1782990479.8727212;1782990479.8726351;0
1782990480.8727975;1782990480.8727052;0
1782990481.8727882;1782990481.87268;0
1782990482.8727832;1782990482.872683;0
1782990483.872733;1782990483.872646;0
1782990484.8728046;1782990484.8726974;0
1782990485.8727748;1782990485.8726823;0
1782990486.8727763;1782990486.8726842;0
1782990487.8727741;1782990487.8726702;9
1782990488.8727973;1782990488.8727043;185
1782990489.8727872;1782990489.8726969;290
1782990490.8727844;1782990490.8726928;281
1782990491.8728058;1782990491.8727148;253
1782990492.8727977;1782990492.8726997;243
1782990493.8727798;1782990493.8726752;246
1782990494.8727744;1782990494.8726804;98
1782990495.8728375;1782990495.8727334;0
1782990496.8728282;1782990496.8727102;0
1782990497.872791;1782990497.8726876;0
1782990498.8728595;1782990498.8727536;0
1782990499.8727953;1782990499.8726852;0
1782990500.872787;1782990500.872691;-127
1782990501.872785;1782990501.8726892;-248
1782990502.8727608;1782990502.8726609;-251
1782990503.8727977;1782990503.872693;-251
1782990504.8728836;1782990504.8727067;-250
1782990505.872779;1782990505.8726745;-255
1782990506.8727355;1782990506.8726454;-264
1782990507.8728147;1782990507.8727126;-250
1782990508.8728182;1782990508.8726985;-85
1782990509.8728998;1782990509.8726964;0
1782990510.8728123;1782990510.872712;0
1782990511.8727887;1782990511.8726785;0
1782990512.8728185;1782990512.8727205;0
1782990513.8727877;1782990513.8726988;-29
1782990514.872796;1782990514.8727195;-84
1782990515.8727922;1782990515.8726945;0
1782990516.8728712;1782990516.8727033;0
1782990517.8727498;1782990517.8726444;0
1782990518.8727705;1782990518.8726838;0
1782990519.8727958;1782990519.8727;7
1782990520.8728044;1782990520.872704;160
1782990521.8727713;1782990521.8726835;202
1782990522.872784;1782990522.8726864;186
1782990523.872812;1782990523.8727074;212
1782990524.8728154;1782990524.872726;206
1782990525.8728383;1782990525.8727536;202
1782990526.8727834;1782990526.8726919;105
1782990527.8728955;1782990527.872792;0
1782990528.8728547;1782990528.8727627;0
1782990529.8728132;1782990529.872698;0
1782990530.872802;1782990530.8727403;0
1782990531.8728256;1782990531.872777;1
1782990532.8727868;1782990532.8726828;-119
1782990533.8727696;1782990533.872673;-208
1782990534.872881;1782990534.872787;-209
1782990535.872817;1782990535.8727038;-208
1782990536.8727212;1782990536.8726296;-203
1782990537.8727708;1782990537.8726788;-202
1782990538.8727899;1782990538.8726757;-178
1782990539.8728614;1782990539.8727434;2
1782990540.872852;1782990540.872745;0
1782990541.8728871;1782990541.8727462;0
1782990542.8728569;1782990542.872737;0
1782990543.8728065;1782990543.872712;0
1782990544.8728259;1782990544.8727217;-14
1782990545.872778;1782990545.8726852;-137
1782990546.8727741;1782990546.8726816;-193
1782990547.8728018;1782990547.8727064;-192
1782990548.8728101;1782990548.8727117;-159
1782990549.872773;1782990549.87268;13
1782990550.8727696;1782990550.8726623;0
1782990551.8727667;1782990551.8726766;0
1782990552.8728273;1782990552.872736;0
1782990553.8727994;1782990553.8727248;0
1782990554.8728254;1782990554.8727508;0
1782990555.8727527;1782990555.8726668;-4
1782990556.8728375;1782990556.8727033;125
1782990557.872801;1782990557.8727067;209
1782990558.8727918;1782990558.872694;221
1782990559.8727586;1782990559.872655;119
1782990560.8728204;1782990560.872726;0
1782990561.8727765;1782990561.8726885;0
1782990562.8727753;1782990562.872681;0
1782990563.8728123;1782990563.8727093;0
1782990564.872839;1782990564.8727489;0
1782990565.8727665;1782990565.8726676;0
1782990566.8727906;1782990566.872699;0
1782990567.8728983;1782990567.8727925;0
1782990568.8728042;1782990568.8726938;5
1782990569.872775;1782990569.872688;132
1782990570.872749;1782990570.8726656;232
1782990571.8727753;1782990571.8726814;238
1782990572.8727858;1782990572.8727064;233
1782990573.8727515;1782990573.8726742;234
1782990574.8727796;1782990574.8726215;229
1782990575.8727984;1782990575.87271;91
1782990576.8728328;1782990576.8727345;0
1782990577.8727703;1782990577.8726647;0
1782990578.872782;1782990578.8726892;0
1782990579.8728049;1782990579.872708;0
1782990580.8727913;1782990580.8727262;0
1782990581.8727627;1782990581.8726726;-29
1782990582.8727763;1782990582.8726892;-162
1782990583.872867;1782990583.8727376;-195
1782990584.8728025;1782990584.8727114;-195
1782990585.8727376;1782990585.872663;-194
1782990586.8727655;1782990586.872665;-163
1782990587.8727973;1782990587.8727098;-192
1782990588.872811;1782990588.872719;-183
1782990589.87276;1782990589.8726597;43
1782990590.8727877;1782990590.8727002;0
1782990591.872804;1782990591.8727148;0
1782990592.8727956;1782990592.8726976;0
1782990593.8729637;1782990593.872787;0
1782990594.872809;1782990594.8727562;0
1782990595.872808;1782990595.8727052;0
1782990596.8728447;1782990596.8727307;1
1782990597.8727655;1782990597.8726814;0
1782990598.8727758;1782990598.8726838;0
1782990599.8727908;1782990599.87271;0
1782990600.8727546;1782990600.8726754;0
1782990601.872776;1782990601.8726773;0
1782990602.8728878;1782990602.872769;-56
1782990603.8728118;1782990603.8727233;-103
1782990604.872729;1782990604.872638;-103
1782990605.8728087;1782990605.8727503;-104
1782990606.8727822;1782990606.872685;-104
1782990607.8727849;1782990607.872683;-55
1782990608.8728766;1782990608.8727806;0
1782990609.8727636;1782990609.8726723;0
1782990610.8728251;1782990610.8727503;0
1782990611.8728158;1782990611.8727608;0
1782990612.8728359;1782990612.8727427;0
1782990613.873012;1782990613.8729744;0
1782990614.8728144;1782990614.8727574;0
1782990615.8728058;1782990615.8727224;0
1782990616.8728294;1782990616.8727171;0
1782990617.8728476;1782990617.8727667;0
1782990618.8727987;1782990618.8727152;4
1782990619.872782;1782990619.8726945;128
1782990620.8728392;1782990620.8727455;232
1782990621.872857;1782990621.8727558;232
1782990622.8728056;1782990622.8727093;210
1782990623.872756;1782990623.8726723;205
1782990624.8727987;1782990624.8727117;62
1782990625.8727689;1782990625.8726745;0
1782990626.8727803;1782990626.8726835;0
1782990627.872803;1782990627.8727121;65
1782990628.872799;1782990628.8726945;5
1782990629.872798;1782990629.8727114;0
1782990630.8727815;1782990630.8727014;0
1782990631.8728209;1782990631.872718;0
1782990632.8728101;1782990632.8727345;0
1782990633.872782;1782990633.8726938;0
1782990634.8728204;1782990634.8727064;63
1782990635.8728108;1782990635.872725;213
1782990636.8728344;1782990636.8727417;245
1782990637.8727787;1782990637.8726842;253
1782990638.8727746;1782990638.8726983;246
1782990639.8728142;1782990639.8727267;248
1782990640.8728418;1782990640.8727388;225
1782990641.87278;1782990641.8727012;50
