"log_time_s","publish_time_s","file","function","level","line","msg","name"
"1780308181.1276348","1780308181.127604","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/op_manual_asistida'","rosbag2_recorder"
"1780308181.2320015","1780308181.2319624","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/jBnode'","rosbag2_recorder"
"1780308181.2352755","1780308181.2352433","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/Headphones_status'","rosbag2_recorder"
"1780308181.2377954","1780308181.2377617","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/Attended'","rosbag2_recorder"
"1780308181.240141","1780308181.2401085","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/diff_time'","rosbag2_recorder"
"1780308181.2432146","1780308181.2431655","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/tactil_izq'","rosbag2_recorder"
"1780308181.2457726","1780308181.2457373","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/tactil_der'","rosbag2_recorder"
"1780308181.2486162","1780308181.248581","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/random_time'","rosbag2_recorder"
"1780308181.2912576","1780308173.9544816","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","sus_function","20","192","Mensaje recibido: Experimento 1","ST"
"1780308181.2912703","1780308179.9424565","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308181.291276","1780308179.9435563","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 7050","ST"
"1780308184.8944888","1780308184.8943877","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308187.4565084","1780308187.4564233","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308187.457394","1780308187.4573016","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 10469","ST"
"1780308192.8944747","1780308192.8943768","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308198.390209","1780308198.3901188","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308198.391105","1780308198.3910236","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 11439","ST"
"1780308203.894446","1780308203.8943481","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308210.2946553","1780308210.2945642","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308210.2956274","1780308210.2955403","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 7533","ST"
"1780308214.8944185","1780308214.894314","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308218.3003147","1780308218.3002121","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308218.3012676","1780308218.3011763","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 9851","ST"
"1780308222.8944845","1780308222.8943894","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308228.6206532","1780308228.6205504","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""1""","ST"
"1780308228.6223645","1780308228.621525","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 8197","ST"
"1780308230.8945735","1780308230.894489","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","231","Dato medido ST (ms): 1878","ST"
"1780308237.287649","1780308237.2875378","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308237.288618","1780308237.2885249","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 14560","ST"
"1780308241.894368","1780308241.894273","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308252.3173647","1780308252.3172495","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308252.3184636","1780308252.3183315","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 14794","ST"
"1780308256.8945382","1780308256.8944328","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
