1780309006.9430485;1780309006.9429216;8063
1780309015.4767027;1780309015.4766386;14759
1780309030.7022264;1780309030.7021644;13290
1780309044.4647684;1780309044.4647033;10288
1780309055.22336;1780309055.2225723;12423
1780309068.1173778;1780309068.1173108;9132
1780309077.7195587;1780309077.7194922;14285
1780309092.4704473;1780309092.470379;8399
1780309101.3419645;1780309101.3418946;13560
1780309115.3692787;1780309115.3692126;8654
1780309124.4948735;1780309124.494809;9066
1780309134.0316331;1780309134.0315657;13622
1780309148.1208844;1780309148.1208236;8015
1780309156.6083694;1780309156.6083038;9782
1780309166.8595119;1780309166.859446;14293
1780309181.6228359;1780309181.6227684;6478
