1782728806.6377811;1782728806.6376371;0
1782728806.98783;1782728806.9877121;1
1782728808.737772;1782728808.737626;0
1782728810.487659;1782728810.487512;1
1782728818.6377435;1782728818.6376145;0
1782728832.1877925;1782728832.1876538;1
1782728841.9376748;1782728841.9375262;0
1782728843.2878137;1782728843.2876577;1
1782728844.8376923;1782728844.837542;0
1782728865.13765;1782728865.1375005;1
1782728867.5379126;1782728867.5377436;0
1782728868.4378197;1782728868.4376864;1
1782728875.5377705;1782728875.5376265;0
1782728879.0877519;1782728879.0876153;1
1782728879.6377106;1782728879.6375654;0
1782728889.9377136;1782728889.9375632;1
1782728891.3876674;1782728891.3875182;0
1782728891.9877648;1782728891.987611;1
1782728892.6877556;1782728892.687616;0
1782728893.037872;1782728893.037708;1
1782728898.6876428;1782728898.6875024;0
1782728908.7877407;1782728908.7875917;1
1782728910.78767;1782728910.7875152;0
1782728914.4378116;1782728914.437689;1
1782728914.9376605;1782728914.9375246;0
1782728916.2378376;1782728916.2376945;1
1782728918.0378172;1782728918.037685;0
1782728918.7877312;1782728918.7875743;1
1782728920.5376914;1782728920.5375528;0
1782728929.1877518;1782728929.1876323;1
1782728930.3378685;1782728930.3377054;0
1782728931.7376668;1782728931.7375138;1
1782728939.8878703;1782728939.8877223;0
1782728953.137769;1782728953.1376233;1
1782728960.0382009;1782728960.0378273;0
1782728984.1878254;1782728984.1876998;1
1782728985.8377056;1782728985.8375554;0
1782728997.3376873;1782728997.337539;1
1782729000.8376486;1782729000.8375056;0
1782729027.2377596;1782729027.2376163;1
1782729033.7378104;1782729033.7376456;0
1782729050.0877862;1782729050.0876546;1
1782729058.637665;1782729058.6375191;0
