1781781368.0134358;1781781368.01255;50
1781781404.5127704;1781781404.5125177;50
1781781407.012793;1781781407.0125294;40
1781781444.0127375;1781781444.0125542;1
1781781474.015086;1781781474.012588;50
1781781479.0134497;1781781479.0125704;2
1781781496.5134408;1781781496.5125532;50
1781781501.5144436;1781781501.5125854;3
1781781536.5145154;1781781536.5125685;40
1781781552.012798;1781781552.0125484;50
1781781581.0142045;1781781581.0125582;4
1781781592.5144403;1781781592.5125253;50
1781781597.5128322;1781781597.5125678;5
1781781608.0127375;1781781608.0125363;50
1781781610.0128329;1781781610.0125685;50
1781781627.0144813;1781781627.0125494;6
1781781643.0127914;1781781643.012526;50
1781781652.0127769;1781781652.0125258;7
1781781658.012847;1781781658.0125809;50
1781781660.5143247;1781781660.5125387;8
1781781677.514205;1781781677.5125725;50
1781781679.514528;1781781679.512592;9
1781781689.0127242;1781781689.0125265;50
1781781713.5128334;1781781713.512546;50
1781781716.0144513;1781781716.0125074;30
