1782990186.7647347;Ejecucion;0
1782990197.764609;Ejecucion;50
1782990203.2647238;Ejecucion;1
1782990216.764671;Ejecucion;50
1782990229.7650845;Ejecucion;2
1782990237.765092;Ejecucion;50
1782990244.764815;Ejecucion;3
1782990254.7650886;Ejecucion;50
1782990257.2648532;Ejecucion;4
1782990269.7650692;Ejecucion;50
1782990276.7651138;Ejecucion;5
1782990286.2669983;Ejecucion;50
1782990295.7651236;Ejecucion;6
1782990305.765093;Ejecucion;50
1782990307.2647188;Ejecucion;4
1782990311.765105;Ejecucion;7
1782990317.7651155;Ejecucion;50
1782990321.7647111;Ejecucion;8
1782990330.2647064;Ejecucion;50
1782990333.764711;Ejecucion;9
1782990352.2647;Ejecucion;50
1782990354.2647448;Ejecucion;10
1782990367.2650845;Ejecucion;50
1782990409.2651007;Ejecucion;0
1782990432.26477;Ejecucion;1
1782990434.7647717;Ejecucion;0
1782990450.764822;Ejecucion;20
1782990461.764723;Ejecucion;50
1782990466.2661843;Ejecucion;1
1782990480.2650964;Ejecucion;50
1782990482.2647278;Ejecucion;2
1782990495.7651336;Ejecucion;50
1782990497.7647312;Ejecucion;3
1782990508.7647123;Ejecucion;50
1782990511.7647498;Ejecucion;4
1782990528.2670853;Ejecucion;50
1782990529.767141;Ejecucion;5
1782990538.7658496;Ejecucion;50
1782990540.768293;Ejecucion;50
1782990552.7651248;Ejecucion;6
1782990561.7649052;Ejecucion;50
1782990567.7652376;Ejecucion;7
1782990576.7659492;Ejecucion;50
1782990578.766189;Ejecucion;8
1782990590.2647624;Ejecucion;50
1782990600.2671647;Ejecucion;9
1782990610.2657702;Ejecucion;50
1782990616.264752;Ejecucion;10
1782990625.264688;Ejecucion;40
1782990642.2668495;Ejecucion;30
1782990658.2646346;Ejecucion;20
1782990760.7651217;Ejecucion;30
