"log_time_s","publish_time_s","file","function","level","line","msg","name"
"1781507798.203744","1781507792.7420514","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subMovilEjecucion","20","324","Comando Movil Ejecucion: 0","mainNode"
"1781507798.203763","1781507796.2421188","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subMovilEjecucion","20","324","Comando Movil Ejecucion: 20","mainNode"
"1781507798.9332242","1781507798.9325843","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/opasistidaNode.py","update_pot","20","147","Dato publicado potenciometro: 0","opasistidaNode"
"1781507799.1072118","1781507799.1071563","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/tactil_der'","rosbag2_recorder"
"1781507799.1108246","1781507799.1107843","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/tactil_izq'","rosbag2_recorder"
"1781507799.230025","1781507799.229242","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/webcamNode.py","timer_callback","20","112","Frame: 2","webcam"
"1781507799.230996","1781507799.2300193","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/webcamNode.py","timer_callback","20","121","Webcam : CONNECTED","webcam"
"1781507799.3016286","1781507799.3014905","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/opasistidaNode.py","update_tactil_izq","20","85","Dato publicado tactil izquierda: 1","opasistidaNode"
"1781507799.302758","1781507799.302637","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/opasistidaNode.py","timer_callback","20","109","Dato publicado Navegación Táctil:15","opasistidaNode"
"1781507799.4517515","1781507799.4516263","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/opasistidaNode.py","update_tactil_der","20","90","Dato publicado tactil derecha: 1","opasistidaNode"
"1781507799.452998","1781507799.4527144","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/opasistidaNode.py","timer_callback","20","109","Dato publicado Navegación Táctil:5","opasistidaNode"
"1781507799.6241715","1781507799.6241386","./src/rosbag2_transport/recorder.cpp","subscribe_topic","20","569","Subscribed to topic '/jBnode'","rosbag2_recorder"
"1781507801.2294168","1781507801.2292912","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/webcamNode.py","timer_callback","20","112","Frame: 3","webcam"
"1781507801.230187","1781507801.2300723","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/webcamNode.py","timer_callback","20","121","Webcam : CONNECTED","webcam"
"1781507803.230714","1781507803.230585","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/webcamNode.py","timer_callback","20","112","Frame: 4","webcam"
