log_time_s,publish_time_s,file,function,level,line,msg,name
1765969790.1530817,1765969790.1530595,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/rosout',rosbag2_recorder
1765969790.1552827,1765969790.1552489,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/events/write_split',rosbag2_recorder
1765969790.15545,1765969790.1554372,./src/rosbag2_transport/recorder.cpp,record,20,365,Recording...,rosbag2_recorder
1765969790.2223113,1765969790.113178,./src/rosbag2_transport/recorder.cpp,RecorderImpl,20,190,Press SPACE for pausing/resuming,rosbag2_recorder
1765969790.2223332,1765969790.14881,./src/rosbag2_transport/recorder.cpp,record,20,353,Listening for topics...,rosbag2_recorder
1765969790.222338,1765969790.14895,./src/rosbag2_transport/recorder.cpp,event_publisher_thread_main,20,371,Event publisher thread: Starting,rosbag2_recorder
1765969790.2691188,1765969790.2690854,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/Attended',rosbag2_recorder
1765969790.2713132,1765969790.2712824,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/right_wheel_steps',rosbag2_recorder
1765969790.2743804,1765969790.274342,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/tactil_der',rosbag2_recorder
1765969790.277219,1765969790.2771878,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/random_time',rosbag2_recorder
1765969790.2779837,1765969787.0078607,/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py,callback_subJoy,20,82,Comando Joystick Bluetooth: -2,mainNode
1765969790.2794974,1765969790.279466,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/pot_esp32',rosbag2_recorder
1765969790.2824206,1765969790.2823896,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/name_movil',rosbag2_recorder
1765969790.2851708,1765969790.2851408,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/tactil_izq',rosbag2_recorder
1765969790.2870898,1765969790.2870572,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/modo_exp',rosbag2_recorder
1765969790.289105,1765969788.1051984,/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/esp32Node.py,timer_callback,20,41,Dato publicado Pot: 5,sensorHallyPot
1765969790.2893903,1765969790.2893631,./src/rosbag2_transport/recorder.cpp,subscribe_topic,20,569,Subscribed to topic '/left_wheel_steps',rosbag2_recorder
