timestamp_s;topic;value
1781175110.3391607;left_wheel_steps;0
1781175110.3419816;right_wheel_steps;0
1781175111.3042846;left_wheel_steps;0
1781175111.3048694;right_wheel_steps;0
1781175112.3154674;left_wheel_steps;0
1781175112.3159535;right_wheel_steps;0
1781175113.304117;left_wheel_steps;0
1781175113.3044565;right_wheel_steps;0
1781175114.2934623;left_wheel_steps;0
1781175114.2944381;right_wheel_steps;0
1781175115.2923555;left_wheel_steps;0
1781175115.2940726;right_wheel_steps;0
1781175116.2920809;left_wheel_steps;0
1781175116.292833;right_wheel_steps;0
1781175117.294142;left_wheel_steps;0
1781175117.2950985;right_wheel_steps;0
1781175118.2914414;left_wheel_steps;0
1781175118.2928953;right_wheel_steps;0
1781175119.290771;left_wheel_steps;0
1781175119.2910607;right_wheel_steps;0
1781175120.2908297;left_wheel_steps;0
1781175120.2912042;right_wheel_steps;0
1781175121.2907326;left_wheel_steps;0
1781175121.2910151;right_wheel_steps;0
1781175122.2907412;left_wheel_steps;0
1781175122.2910428;right_wheel_steps;0
1781175123.2907622;left_wheel_steps;0
1781175123.2910328;right_wheel_steps;0
1781175124.290764;left_wheel_steps;0
1781175124.2910337;right_wheel_steps;0
1781175125.2908134;left_wheel_steps;0
1781175125.2910786;right_wheel_steps;0
1781175126.2907846;left_wheel_steps;0
1781175126.2918408;right_wheel_steps;0
1781175127.290752;left_wheel_steps;0
1781175127.2910192;right_wheel_steps;0
1781175127.7923813;name_movil;ALBMOLI
1781175128.2907813;left_wheel_steps;0
1781175128.2910407;right_wheel_steps;0
1781175129.2908115;left_wheel_steps;0
1781175129.2910683;right_wheel_steps;0
1781175130.2907617;left_wheel_steps;0
1781175130.2910137;right_wheel_steps;0
1781175131.290859;left_wheel_steps;0
1781175131.291119;right_wheel_steps;0
1781175132.2908661;left_wheel_steps;0
1781175132.2911212;right_wheel_steps;0
1781175133.2907703;left_wheel_steps;0
1781175133.2910662;right_wheel_steps;0
1781175134.2907853;left_wheel_steps;0
1781175134.291091;right_wheel_steps;0
1781175134.292163;tipo_exp;Experimento 1
1781175135.2908072;left_wheel_steps;0
1781175135.2911048;right_wheel_steps;0
1781175136.2909293;left_wheel_steps;0
1781175136.2912252;right_wheel_steps;0
1781175136.7922149;modo_exp;Modo:2
1781175136.7954519;directorio_grabacion;ALBMOLI_1_2_2026_06_11-12_52_16
1781175137.29083;left_wheel_steps;0
1781175137.2910845;right_wheel_steps;0
1781175137.7923079;Ejecucion;20
1781175137.7952812;control_grabacion;True
1781175138.290676;left_wheel_steps;0
1781175138.2909238;right_wheel_steps;0
1781175138.3434942;diff_time;5000
1781175139.2908309;left_wheel_steps;0
1781175139.2910812;right_wheel_steps;0
1781175140.2968504;left_wheel_steps;0
1781175140.2972386;right_wheel_steps;0
1781175141.2908669;left_wheel_steps;0
1781175141.291137;right_wheel_steps;0
1781175142.2909105;left_wheel_steps;0
1781175142.2911654;right_wheel_steps;0
1781175143.2908309;left_wheel_steps;0
1781175143.291126;right_wheel_steps;0
1781175143.7444222;tactil_izq;1
1781175143.7465289;op_manual_asistida;15
1781175143.9392378;Attended;0
1781175143.940442;random_time;7070
1781175143.9445055;tactil_der;1
1781175143.9469113;op_manual_asistida;5
1781175144.2910159;pot_esp32;8
1781175144.2913465;left_wheel_steps;0
1781175144.2915342;right_wheel_steps;0
1781175144.2925572;op_manual_asistida;3
1781175145.144404;tactil_izq;0
1781175145.1447148;tactil_der;0
1781175145.1465728;op_manual_asistida;12
1781175145.1495242;op_manual_asistida;0
1781175145.2917714;left_wheel_steps;20
1781175145.2920215;right_wheel_steps;20
1781175145.3945107;tactil_izq;1
1781175145.396436;op_manual_asistida;10
1781175145.5945654;tactil_der;1
1781175145.596687;op_manual_asistida;3
1781175146.2907312;left_wheel_steps;56
1781175146.2909675;right_wheel_steps;68
1781175147.2910135;left_wheel_steps;73
1781175147.2913058;right_wheel_steps;66
1781175148.2907898;left_wheel_steps;207
1781175148.291075;right_wheel_steps;199
1781175149.2907882;left_wheel_steps;235
1781175149.2910748;right_wheel_steps;235
1781175149.3437827;diff_time;5000
1781175150.2907033;left_wheel_steps;227
1781175150.2909346;right_wheel_steps;233
1781175151.2908242;left_wheel_steps;220
1781175151.291065;right_wheel_steps;256
1781175151.475158;Attended;0
1781175151.4769542;random_time;8149
1781175152.2443528;tactil_der;0
1781175152.2466786;op_manual_asistida;10
1781175152.2907965;left_wheel_steps;226
1781175152.2910676;right_wheel_steps;228
1781175152.8951573;tactil_der;1
1781175152.8968794;op_manual_asistida;3
1781175153.2908225;left_wheel_steps;197
1781175153.2910564;right_wheel_steps;197
1781175154.2910297;left_wheel_steps;181
1781175154.2913175;right_wheel_steps;179
1781175155.1443388;tactil_der;0
1781175155.1461663;op_manual_asistida;10
1781175155.29083;left_wheel_steps;256
1781175155.2911165;right_wheel_steps;237
1781175156.2908149;left_wheel_steps;246
1781175156.2910957;right_wheel_steps;191
1781175156.3435497;diff_time;5000
1781175157.290759;left_wheel_steps;266
1781175157.2910628;right_wheel_steps;183
1781175157.6447024;tactil_der;1
1781175157.646452;op_manual_asistida;3
1781175158.2908177;left_wheel_steps;286
1781175158.291062;right_wheel_steps;166
1781175158.544391;tactil_der;0
1781175158.5460808;op_manual_asistida;10
