timestamp_s;topic;value
1781508540.9311464;left_wheel_steps;0
1781508540.9314177;right_wheel_steps;0
1781508541.931166;left_wheel_steps;0
1781508541.9314253;right_wheel_steps;0
1781508542.93117;left_wheel_steps;0
1781508542.9314432;right_wheel_steps;0
1781508543.9311688;left_wheel_steps;0
1781508543.9314404;right_wheel_steps;0
1781508544.9311807;left_wheel_steps;0
1781508544.9314392;right_wheel_steps;0
1781508545.9311829;left_wheel_steps;0
1781508545.9314325;right_wheel_steps;0
1781508546.9311461;left_wheel_steps;0
1781508546.9314005;right_wheel_steps;0
1781508547.9311237;left_wheel_steps;0
1781508547.931373;right_wheel_steps;0
1781508548.9312158;left_wheel_steps;0
1781508548.931453;right_wheel_steps;0
1781508549.931299;left_wheel_steps;0
1781508549.9315078;right_wheel_steps;0
1781508550.9311357;left_wheel_steps;0
1781508550.9313984;right_wheel_steps;0
1781508551.9311714;left_wheel_steps;0
1781508551.9314296;right_wheel_steps;0
1781508552.9311926;left_wheel_steps;0
1781508552.931456;right_wheel_steps;0
1781508553.931182;left_wheel_steps;0
1781508553.9314446;right_wheel_steps;0
1781508554.931191;left_wheel_steps;0
1781508554.9314525;right_wheel_steps;0
1781508555.9313343;left_wheel_steps;0
1781508555.9315677;right_wheel_steps;0
1781508556.931168;left_wheel_steps;0
1781508556.9314272;right_wheel_steps;0
1781508557.9312165;left_wheel_steps;0
1781508557.931457;right_wheel_steps;0
1781508558.931189;left_wheel_steps;0
1781508558.9314504;right_wheel_steps;0
1781508559.931138;left_wheel_steps;0
1781508559.9313781;right_wheel_steps;0
1781508560.9312353;left_wheel_steps;0
1781508560.931469;right_wheel_steps;0
1781508561.9311755;left_wheel_steps;0
1781508561.9314113;right_wheel_steps;0
1781508562.9313428;left_wheel_steps;0
1781508562.9315696;right_wheel_steps;0
1781508563.9311652;left_wheel_steps;0
1781508563.9314237;right_wheel_steps;0
1781508564.9311574;left_wheel_steps;0
1781508564.9313934;right_wheel_steps;0
1781508565.931163;left_wheel_steps;0
1781508565.9314172;right_wheel_steps;0
1781508566.931156;left_wheel_steps;0
1781508566.9314158;right_wheel_steps;0
1781508567.9311552;left_wheel_steps;0
1781508567.9314086;right_wheel_steps;0
1781508568.931152;left_wheel_steps;0
1781508568.9314022;right_wheel_steps;0
1781508569.9311771;left_wheel_steps;0
1781508569.9314299;right_wheel_steps;0
1781508570.9311705;left_wheel_steps;0
1781508570.9314306;right_wheel_steps;0
1781508571.9311306;left_wheel_steps;0
1781508571.9313893;right_wheel_steps;0
1781508572.931172;left_wheel_steps;0
1781508572.9314246;right_wheel_steps;0
1781508573.931147;left_wheel_steps;0
1781508573.9314077;right_wheel_steps;0
1781508574.93111;left_wheel_steps;0
1781508574.931359;right_wheel_steps;0
1781508575.931159;left_wheel_steps;0
1781508575.9314117;right_wheel_steps;0
1781508576.931148;left_wheel_steps;0
1781508576.9314039;right_wheel_steps;0
1781508577.9311616;left_wheel_steps;0
1781508577.9314237;right_wheel_steps;0
1781508578.9311655;left_wheel_steps;0
1781508578.9314241;right_wheel_steps;0
1781508579.9311588;left_wheel_steps;0
1781508579.931423;right_wheel_steps;0
1781508580.931181;left_wheel_steps;0
1781508580.9314196;right_wheel_steps;0
1781508581.9311905;left_wheel_steps;0
1781508581.9314246;right_wheel_steps;0
1781508582.9311414;left_wheel_steps;0
1781508582.93138;right_wheel_steps;0
1781508583.931292;left_wheel_steps;0
1781508583.931477;right_wheel_steps;0
1781508584.9317737;left_wheel_steps;0
1781508584.9319844;right_wheel_steps;0
1781508585.931044;left_wheel_steps;0
1781508585.9312556;right_wheel_steps;0
1781508586.9310343;left_wheel_steps;0
1781508586.9312613;right_wheel_steps;0
1781508587.9312906;left_wheel_steps;0
1781508587.9315593;right_wheel_steps;0
1781508588.9311144;left_wheel_steps;0
1781508588.9313157;right_wheel_steps;0
1781508589.931113;left_wheel_steps;0
1781508589.9313126;right_wheel_steps;0
1781508590.9314678;left_wheel_steps;0
1781508590.9316459;right_wheel_steps;0
1781508591.9309475;left_wheel_steps;0
1781508591.9311094;right_wheel_steps;0
1781508592.9310386;left_wheel_steps;0
1781508592.931246;right_wheel_steps;0
1781508593.9320655;left_wheel_steps;0
1781508593.9322977;right_wheel_steps;0
1781508594.934313;left_wheel_steps;0
1781508594.9345407;right_wheel_steps;0
1781508595.9310665;left_wheel_steps;0
1781508595.931283;right_wheel_steps;0
1781508596.9317985;left_wheel_steps;0
1781508596.931983;right_wheel_steps;0
1781508597.933326;left_wheel_steps;0
1781508597.9335024;right_wheel_steps;0
1781508598.9309797;left_wheel_steps;0
1781508598.9311342;right_wheel_steps;0
1781508599.9371774;left_wheel_steps;0
1781508599.938059;right_wheel_steps;0
1781508600.9314992;left_wheel_steps;0
1781508600.9316695;right_wheel_steps;0
1781508601.9309227;left_wheel_steps;0
1781508601.9310782;right_wheel_steps;0
1781508602.9341629;left_wheel_steps;0
1781508602.9357004;right_wheel_steps;0
1781508603.933276;left_wheel_steps;0
1781508603.9335148;right_wheel_steps;0
1781508604.9316463;left_wheel_steps;0
1781508604.9318216;right_wheel_steps;0
1781508605.9312823;left_wheel_steps;0
1781508605.9315343;right_wheel_steps;0
1781508606.9311912;left_wheel_steps;0
1781508606.9313958;right_wheel_steps;0
1781508607.9310522;left_wheel_steps;0
1781508607.9312587;right_wheel_steps;0
1781508608.9311547;left_wheel_steps;0
1781508608.9314113;right_wheel_steps;0
1781508609.9310515;left_wheel_steps;0
1781508609.9312468;right_wheel_steps;0
1781508610.9310338;left_wheel_steps;0
1781508610.9312363;right_wheel_steps;0
1781508611.9313664;left_wheel_steps;0
1781508611.931634;right_wheel_steps;0
1781508612.9311032;left_wheel_steps;0
1781508612.9313304;right_wheel_steps;0
1781508613.9310133;left_wheel_steps;0
1781508613.9311712;right_wheel_steps;0
1781508614.931068;left_wheel_steps;0
1781508614.9313264;right_wheel_steps;0
1781508615.9312708;left_wheel_steps;0
1781508615.93151;right_wheel_steps;0
1781508616.9312224;left_wheel_steps;0
