1782990660.489681;1782990660.4892273;10
1782990660.83917;1782990660.8388474;0
1782990660.9391685;1782990660.9387627;12
1782990662.8391476;1782990662.8390138;3
1782990663.2406864;1782990663.239069;10
1782990666.0400867;1782990666.039886;3
1782990666.3389673;1782990666.3388567;12
1782990666.4894671;1782990666.489172;0
1782990669.5393953;1782990669.5389466;17
1782990672.1897583;1782990672.1888216;0
1782990674.0894916;1782990674.0889933;10
1782990678.9897425;1782990678.9887896;0
1782990680.539689;1782990680.5387726;17
1782990683.3393073;1782990683.3389118;0
1782990689.4890182;1782990689.488653;10
1782990689.6896384;1782990689.6888103;3
1782990690.789088;1782990690.788811;10
1782990695.3889756;1782990695.3887675;3
1782990700.2897544;1782990700.2887933;10
1782990709.9891484;1782990709.9888003;0
1782990712.3891363;1782990712.3888323;17
1782990715.6396434;1782990715.6388843;0
1782990717.0905876;1782990717.0888884;9
1782990717.4408207;1782990717.4390259;0
1782990717.873608;1782990717.8731627;3
1782990728.5898473;1782990728.588824;10
1782990728.6891024;1782990728.6889215;0
1782990731.7391517;1782990731.7388241;6
1782990731.8734553;1782990731.8732421;17
1782990733.3890858;1782990733.3887746;0
1782990736.1389692;1782990736.1386619;6
1782990740.9391224;1782990740.9388046;0
1782990742.1395326;1782990742.1387618;10
1782990742.2399888;1782990742.238919;3
1782990747.7401295;1782990747.7390952;12
1782990747.9407625;1782990747.9390275;0
1782990749.0407314;1782990749.0390446;12
1782990755.490647;1782990755.488731;0
