"log_time_s","publish_time_s","data"
"1773661766.0369718","1773661766.0353248","0"
"1773661767.0353205","1773661767.0351937","0"
"1773661768.0353572","1773661768.0351865","0"
"1773661769.0353615","1773661769.0351713","0"
"1773661770.035339","1773661770.0351908","0"
"1773661771.0353653","1773661771.0351884","0"
"1773661772.0353866","1773661772.0352037","0"
"1773661773.0353258","1773661773.0352032","0"
"1773661774.035317","1773661774.035156","0"
"1773661775.035361","1773661775.0351706","0"
"1773661776.0353193","1773661776.0351763","0"
"1773661777.0353959","1773661777.0352097","0"
"1773661778.0353303","1773661778.0351536","0"
"1773661779.0353065","1773661779.0351818","0"
"1773661780.035367","1773661780.0351925","0"
"1773661781.035362","1773661781.035166","0"
"1773661782.0360065","1773661782.035179","0"
"1773661783.035366","1773661783.0351899","0"
"1773661784.0353608","1773661784.0351782","0"
"1773661785.0353224","1773661785.0351942","0"
"1773661786.0353644","1773661786.0351906","0"
"1773661787.0353758","1773661787.0351918","0"
"1773661788.0352259","1773661788.0350783","0"
"1773661789.0353754","1773661789.035199","0"
"1773661790.0353591","1773661790.0351763","0"
"1773661791.0353312","1773661791.0352051","0"
"1773661792.0353804","1773661792.0351934","0"
"1773661793.0353522","1773661793.0351715","0"
"1773661794.0353208","1773661794.0351787","0"
"1773661795.0353842","1773661795.0351987","0"
"1773661796.035365","1773661796.0351725","0"
"1773661797.0352962","1773661797.0351923","0"
"1773661798.0353901","1773661798.0352106","0"
"1773661799.035395","1773661799.035198","0"
"1773661800.0352976","1773661800.0351744","0"
"1773661801.0353785","1773661801.0351982","0"
"1773661802.0353591","1773661802.035182","0"
"1773661803.0353935","1773661803.0352194","0"
"1773661804.0353377","1773661804.0351593","0"
"1773661805.0354939","1773661805.0353012","0"
"1773661806.035364","1773661806.0352051","0"
"1773661807.0353403","1773661807.0351632","0"
"1773661808.035382","1773661808.035191","0"
"1773661809.0353575","1773661809.0352054","0"
"1773661810.035381","1773661810.0352042","1"
"1773661811.035327","1773661811.035147","72"
"1773661812.0353696","1773661812.0351715","247"
"1773661813.0353882","1773661813.0351832","323"
"1773661814.035364","1773661814.0351818","326"
"1773661815.035274","1773661815.0351336","325"
"1773661816.0353935","1773661816.0352225","322"
"1773661817.0353475","1773661817.035171","325"
"1773661818.03536","1773661818.0352225","325"
"1773661819.0353034","1773661819.0351348","320"
"1773661820.0354106","1773661820.0352252","155"
"1773661821.0353684","1773661821.0353134","0"
"1773661822.0354218","1773661822.0353336","0"
"1773661823.035302","1773661823.0351212","1"
"1773661824.035361","1773661824.0352247","-101"
"1773661825.035383","1773661825.0352032","-208"
"1773661826.035349","1773661826.0351694","-217"
"1773661827.035279","1773661827.035145","-220"
"1773661828.0353653","1773661828.0351927","-220"
"1773661829.0358047","1773661829.0355725","-222"
"1773661830.0353396","1773661830.0351927","-145"
"1773661831.0353408","1773661831.0351753","0"
"1773661832.035328","1773661832.0351853","-152"
"1773661833.035341","1773661833.0351996","-288"
"1773661834.035393","1773661834.035218","-301"
"1773661835.0353355","1773661835.0351603","-302"
"1773661836.0353622","1773661836.0352092","-303"
"1773661837.035375","1773661837.0352077","-303"
"1773661838.0353522","1773661838.0351706","-296"
"1773661839.0352802","1773661839.0351503","54"
"1773661840.0354125","1773661840.0353203","0"
"1773661841.0353582","1773661841.0351691","0"
"1773661842.0353112","1773661842.0351856","98"
"1773661843.035395","1773661843.0352058","253"
"1773661844.0353556","1773661844.0351775","277"
"1773661845.0353286","1773661845.0352042","231"
"1773661846.0353634","1773661846.0351903","31"
"1773661847.035376","1773661847.0352747","0"
"1773661848.0353627","1773661848.0352783","0"
"1773661849.035366","1773661849.0351937","0"
"1773661850.0353625","1773661850.0351677","-41"
"1773661851.0352912","1773661851.0351267","82"
"1773661852.036394","1773661852.0361986","133"
"1773661853.0353858","1773661853.035286","75"
"1773661854.0353396","1773661854.035264","0"
"1773661855.0352914","1773661855.0351334","0"
"1773661856.035348","1773661856.0351622","0"
"1773661857.0353153","1773661857.035175","0"
"1773661858.0354455","1773661858.0351884","0"
"1773661859.0353117","1773661859.035142","0"
"1773661860.0353208","1773661860.0352025","0"
"1773661861.035382","1773661861.0352075","0"
