1781507792.7417326;Ejecucion;0
1781507796.2417665;Ejecucion;20
1781507809.2409952;Ejecucion;50
1781507810.7417283;Ejecucion;50
1781507826.2412388;Ejecucion;1
1781507844.7425234;Ejecucion;50
1781507853.7417424;Ejecucion;2
1781507862.741225;Ejecucion;50
1781507866.2417548;Ejecucion;3
1781507884.2412417;Ejecucion;50
1781507888.2413;Ejecucion;4
1781507906.7412827;Ejecucion;50
1781507914.741192;Ejecucion;5
1781507925.2409816;Ejecucion;50
1781507926.7417526;Ejecucion;50
1781507935.2410064;Ejecucion;6
1781507946.7413094;Ejecucion;50
1781507954.7417595;Ejecucion;7
1781507960.741302;Ejecucion;50
1781507968.2421677;Ejecucion;8
1781507976.741294;Ejecucion;50
1781507980.2427416;Ejecucion;9
1781507994.7412903;Ejecucion;50
1781508011.7424304;Ejecucion;40
1781508019.2416809;Ejecucion;50
1781508026.242788;Ejecucion;30
