1783934701.1236415;1783934701.1233556;10
1783934701.1740785;1783934701.1730928;3
1783934711.4739053;1783934711.472982;10
1783934712.1233206;1783934712.1228452;0
1783934712.5731452;1783934712.5729067;10
1783934713.735953;1783934713.7347567;9
1783934714.2738376;1783934714.2729115;0
1783934715.1729987;1783934715.1729178;15
1783934716.973146;1783934716.9729664;0
1783934718.1241813;1783934718.1230934;15
1783934718.7348387;1783934718.73472;9
1783934719.4230587;1783934719.4227376;0
1783934719.6740978;1783934719.6736739;9
1783934721.4233959;1783934721.4232259;0
1783934722.4234092;1783934722.4229944;9
1783934722.6735485;1783934722.6731513;0
1783934723.773472;1783934723.7728038;9
1783934724.0232918;1783934724.0231295;0
1783934724.7354763;1783934724.7353253;3
1783934727.323214;1783934727.3230674;12
1783934727.3264394;1783934727.326295;0
1783934730.6238406;1783934730.6233613;10
1783934730.737093;1783934730.734782;9
1783934734.0241318;1783934734.023049;0
1783934734.5733058;1783934734.5728772;6
1783934734.7355433;1783934734.734657;12
1783934734.8230455;1783934734.8228533;3
1783934736.923111;1783934736.922945;12
1783934737.073148;1783934737.0729809;0
1783934737.123205;1783934737.122957;10
1783934738.0230377;1783934738.022916;3
1783934743.2730358;1783934743.2729201;10
1783934755.4245517;1783934755.4229245;3
1783934757.2256873;1783934757.2234225;10
1783934757.7736738;1783934757.7730448;3
1783934760.9741821;1783934760.972822;10
1783934771.823759;1783934771.8233638;3
1783934773.7240968;1783934773.7229967;10
1783934774.2733521;1783934774.2730362;3
1783934777.5741043;1783934777.572856;10
1783934786.5242276;1783934786.5235677;3
1783934793.2751663;1783934793.2732966;10
1783934802.873278;1783934802.8729374;3
1783934804.9236639;1783934804.9233792;10
1783934805.925772;1783934805.9236603;3
1783934806.323219;1783934806.323053;10
1783934810.223509;1783934810.2231848;3
1783934810.7233684;1783934810.72302;12
1783934815.5738645;1783934815.5734406;3
1783934816.5735354;1783934816.5732024;12
1783934817.073754;1783934817.073554;3
1783934821.5230546;1783934821.5228841;12
1783934821.9243963;1783934821.9228754;3
1783934823.5748386;1783934823.5729423;10
1783934824.573089;1783934824.5729165;3
1783934829.2234607;1783934829.2232916;12
1783934838.2730243;1783934838.272783;3
1783934844.523507;1783934844.5232098;12
1783934853.024089;1783934853.0228798;3
1783934859.6736646;1783934859.6733143;12
1783934860.223819;1783934860.2233577;0
1783934860.7734118;1783934860.7730553;12
1783934870.5245776;1783934870.523065;3
1783934876.1229632;1783934876.122832;12
1783934884.9739275;1783934884.972751;0
1783934885.3242147;1783934885.3230896;10
1783934886.1230695;1783934886.1227746;3
1783934892.7242973;1783934892.7228875;12
1783934901.6731293;1783934901.6730502;3
1783934907.0237627;1783934907.0227692;10
1783934908.0234983;1783934908.0231872;3
1783934909.3741918;1783934909.3730936;12
1783934909.57356;1783934909.5733268;0
