1781781769.4217722;1781781769.4214542;11551
1781781781.4382756;1781781781.4379375;14111
1781781796.0204637;1781781796.020206;7305
1781781803.7914906;1781781803.7913408;8775
1781781813.0295491;1781781813.0292487;11394
1781781824.8869927;1781781824.885903;10745
1781781836.1095672;1781781836.1080813;9005
1781781845.5808656;1781781845.5805516;7089
1781781853.133315;1781781853.1329937;11465
1781781865.064492;1781781865.0642326;12065
1781781877.6047258;1781781877.6036901;11521
1781781889.5884275;1781781889.588276;13089
1781781903.1413107;1781781903.140981;14501
1781781918.107764;1781781918.1072562;13901
1781781932.4815838;1781781932.481256;11683
1781781944.6316395;1781781944.6313264;5308
1781781950.4078596;1781781950.407595;12677
