1781781758.8826876;1781781758.8825397;CONNECTED
1781781763.8813038;1781781763.8811617;CONNECTED
1781781768.88161;1781781768.881449;CONNECTED
1781781773.8821414;1781781773.881995;CONNECTED
1781781778.8820121;1781781778.8817625;CONNECTED
1781781783.8810143;1781781783.8808904;CONNECTED
1781781788.8820112;1781781788.8818195;CONNECTED
1781781793.8828547;1781781793.8827088;CONNECTED
1781781798.8848727;1781781798.8847253;CONNECTED
1781781803.8835528;1781781803.8834238;CONNECTED
1781781808.8815212;1781781808.8813407;CONNECTED
1781781813.8810349;1781781813.8808985;CONNECTED
1781781818.8818238;1781781818.8816812;CONNECTED
1781781823.8827927;1781781823.8826535;CONNECTED
1781781828.881811;1781781828.8816557;CONNECTED
1781781833.8822155;1781781833.881979;CONNECTED
1781781838.8816812;1781781838.8815386;CONNECTED
1781781843.881404;1781781843.8812418;CONNECTED
1781781848.881539;1781781848.8813882;CONNECTED
1781781853.881311;1781781853.881167;CONNECTED
1781781858.8815463;1781781858.8813488;CONNECTED
1781781863.8819268;1781781863.8817852;CONNECTED
1781781868.8825815;1781781868.882435;CONNECTED
1781781873.8814814;1781781873.8812826;CONNECTED
1781781878.8829048;1781781878.8827605;CONNECTED
1781781883.8812144;1781781883.8810647;CONNECTED
1781781888.8815095;1781781888.881348;CONNECTED
1781781893.8818796;1781781893.8817105;CONNECTED
1781781898.884003;1781781898.8838642;CONNECTED
1781781903.8830273;1781781903.882849;CONNECTED
1781781908.8825378;1781781908.8823998;CONNECTED
1781781913.882613;1781781913.882456;CONNECTED
1781781918.88277;1781781918.8826172;CONNECTED
1781781923.882816;1781781923.8826795;CONNECTED
1781781928.8834906;1781781928.8833344;CONNECTED
1781781933.882231;1781781933.8820896;CONNECTED
1781781938.8838754;1781781938.8837125;CONNECTED
1781781943.882747;1781781943.8824854;CONNECTED
1781781948.881598;1781781948.8813965;CONNECTED
1781781953.885696;1781781953.885495;CONNECTED
